"Year","Port","Millions of Pounds"," Millions of Dollars"
"2017","Key West, FL","14.6","58.2"
"2017","Tampa Bay-St. Petersburg, FL","13.9","39.2"
"2017","Fort Myers, FL","10","23"
"2017","St. Augustine, FL","7","27.6"
"2017","Cape Canaveral, FL","6.6","11.2"
"2017","Mayport, FL","6.4","15.2"
"2017","Panama City, FL","3.5","9.7"
"2017","Ft. Pierce-St.Lucie, FL","2.6","5.5"
"2017","Apalachicola, FL","2.4","7.7"
"2017","Fernandina Beach, FL","2.3","5.7"
"2017","Everglades City, FL","1.4","6.2"
"2016","Key West, FL","16","67"
"2016","Tampa Bay-St. Petersburg, FL","10","23"
"2016","Fort Myers, FL","8","17"
"2016","Port St. Joe, FL","6","5"
"2016","Cortez, FL","6","5"
"2016","Mayport, FL","5","12"
"2016","Panama City, FL","4","10"
"2016","Cape Canaveral, FL","3","7"
"2016","Apalachicola, FL","3","7"
"2016","Naples, FL","2","7"
"2016","Ft. Pierce-St.Lucie, FL","2","5"
"2016","Fernandina Beach, FL","2","5"
"2015","Key West, FL","17.3","71.2"
"2015","Tampa Bay-St. Petersburg, FL","13.6","24.7"
"2015","Fort Myers, FL","7.3","16.8"
"2015","Mayport, FL","5.7","12.1"
"2015","Port St. Joe, FL","5.4","5.2"
"2015","Cape Canaveral, FL","4","7.4"
"2015","Panama City, FL","3.6","9.8"
"2015","Apalachicola, FL","3.1","9.1"
"2015","Ft. Pierce-St.Lucie, FL","2.2","5.2"
"2015","Naples, FL","1.7","9.2"
"2014","Key West, FL","13.4","60.8"
"2014","Tampa Bay-St. Petersburg, FL","12.5","33.1"
"2014","Apalachicola, FL","7.5","8.5"
"2014","Fort Myers, FL","6.6","18.7"
"2014","Mayport, FL","5","14.1"
"2014","Panama City, FL","3.3","8.6"
"2014","Cape Canaveral, FL","3","5.7"
"2014","Ft. Pierce-St.Lucie, FL","2.9","6.5"
"2014","Naples, FL","1.5","7.9"
"2013","Key West, FL","7.5","39.8"
"2013","Tampa Bay-St. Petersburg, FL","7.1","19.5"
"2013","Cortez, FL","3.6","3.6"
"2013","Fort Myers, FL","2.8","8.2"
"2013","Mayport, FL","2.6","6.9"
"2013","Apalachicola, FL","2.2","6.5"
"2013","Naples, FL","1.2","6"
"2013","Panama City, FL",".9","2.7"
"2012","Key West, FL","11.8","43"
"2012","Tampa Bay-St. Petersburg, FL","9.1","21.6"
"2012","Mayport, FL","7.2","15.4"
